id	input	joke
en_00362	I tried to make a shirt out of magnets for a science fair project, hoping it would attract attention and win me the grand prize	It just wasn't very attractive to the judges, and my pencil kept sticking to my chest
en_00363	I lost my job as a tightrope walker because my employer said I couldn't handle the pressure and was always losing my balance	It was hard, but I learned to land on my feet
en_00364	My grandpa always told me I should save money for a rainy day, which I always interpreted as preparing for the worst-case scenario	So I bought a miniature submarine and a lifetime supply of canned soup
en_00365	I spent all night trying to figure out where the sun goes after it sets below the horizon and the stars come out to play	Then, at 6:00 AM, it dawned on me that the Earth just turned around
en_00366	My friend tried to start a book club for people who love to take afternoon naps and have a deep appreciation for silk pajamas	It didn't work out; no one ever woke up for the literary discussions
en_00367	I'm writing a paper on the life of a domesticated sheep and their contribution to the global textile market	I'm struggling with the rough draft; its just too woolly, and I need a better thesaurus
en_00368	I saw a sign that said, Watch for children crossing the road ahead," as I was driving through a busy suburban area"	I thought, That sounds like a fair trade for the old one I lost last year
en_00369	I tried to organize a hide-and-seek world championship with professional players and massive prize money	It was a complete flop—good competitors are simply too hard to find
en_00370	My uncle claims he knows the absolute best, most foolproof way to catch a particularly clever and elusive squirrel in the park	He says you should climb a tree and aggressively act like a nut
en_00371	I asked the librarian if the library had any books on the crippling psychological condition known as chronic paranoia	She leaned in close, whispered, They're right behind you, and then handed me a tinfoil hat"
en_00373	I've decided to sell my vacuum cleaner after realizing it wasn't contributing anything positive to my life or the cleanliness of my apartment	Well, it was just gathering dust in the closet and making me feel guilty
en_00374	My boss called me into his office and said, I need you to have a good day and increase efficiency immediately"	So I simply went home and started optimizing my nap schedule
en_00376	The man who single-handedly invented the hugely popular game of BINGO died recently after a long and exciting life	His name was OMalley, and he will be intensely missed by the community
en_00377	I told my friend I was going to write a novel about a ghost town	I'm struggling with the character development because the setting lacks any local color
en_00378	My favorite childhood memory is watching my brother try to open a stubborn juice box	I always got a good, spontaneous shot of orange soda directly onto my face
en_00379	I decided to become a gardener to manage my chronic stress and deeply rooted anxiety	I figured I needed to put my roots down somewhere else and start growing my problems out in the soil
en_00380	I told my teenage son to stop using his phone at the dinner table	I sent him an urgent smoke signal that very clearly read 'no phone at table, talk to your parents
en_00381	I went to an art exhibition dedicated entirely to abstract concepts of household furniture	It was an incredibly moving and thought-provoking experience, especially the existential crisis of the end table
en_00382	I tried to make a shirt out of strategically placed magnets for a science fair project	It just wasn't very attractive to the judges, and I kept accidentally sticking to the whiteboard
en_00383	I lost my job as a tightrope walker because my employer said I couldn't handle the pressure of public performance	It was hard, but I learned to land on my feet
en_00385	I spent all night trying to observe and deduce where the sun goes after it drops below the Earth	Then, at 6:00 AM, it finally dawned on me that the Earth just turned around
en_00386	My friend tried to start a book club for people who love to take afternoon naps	It didn't work out; no one ever woke up for the literary discussions or the author meet-and-greets
en_00388	I saw a sign that said, Watch for children crossing the road ahead," as I was driving"	I thought, That sounds like a fair trade for the old one I lost last year, maybe this one works better
en_00389	I tried to organize a hide-and-seek world championship with professional players	It was a complete flop—good competitors are simply too hard to find, even with a massive budget
en_00390	My uncle claims he knows the best, most foolproof way to catch an elusive squirrel in the park	He says you should climb a tree and aggressively act like a nut—but only high-quality cashews
en_00391	I asked the librarian if the library had any books on chronic paranoia	She leaned in close, whispered, They're right behind you, and then quickly checked the exit signs"
en_00393	I've decided to sell my vacuum cleaner after realizing it wasn't contributing anything positive to my life	Well, it was just gathering dust in the closet and judging my life choices anyway
en_00394	My boss called me in and said, I need you to have a good day and increase efficiency immediately"	So I simply went home and started brainstorming ways to look busy remotely
en_00395	Parallel lines have so much in common, but their relationship is doomed to fail	Its a real shame theyll never get to meet up for coffee and discuss their shared trauma
en_00396	The man who single-handedly invented the hugely popular game of BINGO died recently	His name was OMalley, and he will be intensely missed, but not number B-12
en_00397	Tell me a joke about a slow computer	My computer is so slow, it loads GIFs like an old slide projector
en_00398	Joke about a lazy employee who avoids work	My boss told me to come in early, so I went home early the day before to balance it out
en_00399	Give me a funny one about forgetting someone's name right after meeting them	I forgot my date's name immediately, so I referred to them as 'Hey, You With The Face' all night
en_00400	I need a joke about coffee addiction and morning routines	I tried to cut back on coffee, but my soul filed for divorce by 7 AM
en_00401	What's a good joke about trying to cook a complex meal for the first time	I followed the recipe exactly, but somehow I ended up with burnt water and a smoke detector symphony
en_00402	Make a joke about terrible parking skills in a busy city	I parked so badly, I got a note on my windshield that was just a stick-figure drawing of someone crying
en_00403	Joke about procrastinating homework until the last possible minute	I waited so long to start my essay that I submitted the bibliography before I even wrote the introduction
en_00404	Give me a funny line about being terrified of heights	I'm so scared of heights, I get vertigo just standing on a slightly elevated sense of self-importance
en_00405	I need a joke about running into an ex-partner in public	I ran into my ex at the grocery store and realized I haven't been looking nearly as good as I imagined I was
en_00406	Tell me a joke about a bad karaoke singer who thinks they are good	He sang so poorly, the microphone dropped itself on the floor out of sheer embarrassment
en_00407	Make a joke about someone who is completely obsessed with their cat	I introduced my cat to my date, and now I'm pretty sure my cat is the one grading my performance
en_00408	Funny joke about trying to use complicated new technology	I spent three hours trying to set up my smart TV, and now it only displays existential dread and the time
en_00409	What's a joke about pretending to exercise when you're just walking slowly	I told my trainer I was power-walking, but I was just aggressively looking for my keys
en_00410	Joke about a very obvious toupee or bad hair transplant	His hairpiece is so fake, it has its own separate social security number and a better credit score than him
en_00411	I need a joke about a lawyer who charges way too much money	My lawyer charges so much, he bills me for the time I spend thinking about his bill
en_00412	Tell me a joke about bad airplane food and airline travel	The airplane food was so bad, I saw the pilot sneak a bag of peanuts out of the emergency exit
en_00413	Make a funny joke about waking up early for no good reason	I woke up at 5 AM this morning, but only because my brain accidentally played the alarm sound on a loop
en_00414	Joke about using auto-correct when texting a serious message	I tried to text my boss 'I'm exhausted,' but auto-correct changed it to 'I'm exotic,' which he surprisingly liked
en_00415	Give me a funny joke about being a terrible driver who gets lost easily	I get lost so often, I once ended up in a different country just trying to find the nearest coffee shop
en_00416	What is a joke about a messy person who lives in total chaos	My apartment is so messy, I found a sandwich I made three years ago, and it offered me life advice
en_00417	Tell me a joke about trying to assemble furniture without instructions	I tried to put together a bookshelf and now I have a moderately stable modern art sculpture
en_00418	I need a joke about an aggressively cheerful morning person	My coworker is so cheerful in the morning, I'm pretty sure they drink pure sunlight for breakfast
en_00419	What's a joke about a very disappointing magic trick	The magician's final trick was so bad, the audience demanded he reappear as someone else
en_00420	Make a funny one about being obsessed with checking the weather forecast	I check the forecast so often, the app started sending me personalized texts asking about my life choices
en_00421	I need a joke about someone who always exaggerates their stories	He exaggerates so much, his biography is filed under 'Fantasy' at the library
en_00422	Tell me a joke about ordering clothes online that don't fit	I ordered a shirt that said it was 'oversized,' but it arrived looking like a sock for a small child
en_00423	Give me a funny joke about a terrible wedding DJ	The wedding DJ was so bad, people started dancing ironically just to fill the time
en_00424	What's a joke about a very confusing motivational speaker	He gave a speech so confusing, the audience left more unsure of themselves than when they arrived
en_00425	I need a joke about a messy eater who spills constantly	I eat so messily, my dog usually waits two feet away from the table just to see what falls
en_00426	Make a joke about someone who is addicted to taking selfies in unusual places	She takes so many selfies, her phone's storage is officially listed as a UNESCO World Heritage Site
en_00427	Tell me a joke about trying to keep a New Year's Resolution	I made a resolution to be less sarcastic, but then I realized that would be impossible
en_00428	I need a funny joke about a terrible singer at a school concert	The soloist's voice was so high, the school's windows started asking existential questions
en_00429	What's a joke about a barber who gives very bad haircuts	My barber is so bad, I walked out looking like I lost a fight with a lawnmower
en_00430	Give me a joke about someone who is constantly forgetting their keys	I forget my keys so much, my front door has started recognizing my frustrated sigh as a form of unlocking
en_00431	I need a joke about a really awkward first date experience	My first date was so awkward, we communicated primarily through confused coughs and intense eye contact with the waiter
en_00432	Make a joke about someone who is trying to exercise at home for the first time	I tried a home workout video, and now I'm pretty sure my living room furniture is judging my poor form
en_00433	Tell me a funny joke about a very boring meeting at work	That meeting was so dull, I saw a coworker secretly playing Tic-Tac-Toe with himself on his notepad
en_00434	I need a joke about a pretentious sommelier at a fancy restaurant	The sommelier described the wine as having 'notes of regret and a hint of second mortgage
en_00435	What's a joke about someone who sleeps excessively	I sleep so much, I wake up in the morning feeling like I've completed a full three-month hibernation cycle
en_00436	Make a joke about terrible customer service at a big store	The customer service line was so long, I saw a baby get born, graduate college, and then join the back of the queue
en_00457	Tell me a joke about a very disappointing fishing trip experience	My fishing trip was so bad, I came home with nothing but a waterlogged sense of regret and two slightly damp thoughts
en_00458	I need a joke about a fitness instructor who has questionable exercise advice	My fitness instructor told me the best way to lose weight is to aggressively run away from my emotional problems
en_00459	What's a joke about a very dramatic and emotional family holiday dinner	Our family dinner was so dramatic, we had to pause the turkey carving for a spontaneous intervention
en_00460	Make a funny one about being terrible at dancing in public	I dance so awkwardly, I look like a nervous scarecrow trying to escape a tangled electrical fence
en_00461	I need a joke about a terrible public speaker who mumbles constantly	The speaker mumbled so badly, I spent the entire lecture trying to figure out if he was talking about ducks or trucks
en_00462	Tell me a joke about a chef who uses way too much salt in every dish	The restaurant's food is so salty, you have to sign a waiver stating you accept the inevitable high blood pressure
en_00463	Give me a funny joke about trying to sneak snacks into a movie theater	I tried to sneak a whole pizza into the cinema, but the butter smell was a dead giveaway to the usher
en_00464	What's a joke about someone who is completely obsessed with their vintage vinyl records	He loves his vinyl so much, he insists on describing the sound quality of silence
en_00465	I need a joke about trying to study but constantly getting distracted by the internet	I sat down to study for an exam, and three hours later, I knew everything about the migratory patterns of garden gnomes
en_00466	Make a joke about someone who is overly competitive in board games	She is so competitive at Monopoly, she starts charging her own family rent for using the living room couch
en_00467	Tell me a joke about a terrible street performer playing loud bagpipes	The street musician's bagpipes were so bad, a nearby pigeon flew directly into a wall to escape the noise
en_00468	I need a funny joke about a very forgetful person who loses their keys often	I lose my keys so much, I'm convinced they run a tiny, rebellious commune behind the couch cushions
en_00469	What's a joke about a very cheap person who never wants to pay for anything	He's so cheap, he refused to buy a new calendar because last year's was still perfectly usable
en_00470	Give me a joke about a terrible hair stylist who always messes up	My stylist is so bad, I walked out of the salon looking like a disgruntled tennis ball
en_00471	I need a joke about someone who is trying to meditate but can't turn off their thoughts	I tried to clear my mind, but my inner voice just started reciting my grocery list in an opera voice
en_00472	Make a joke about terrible road trip snacks that you regret eating later	We ate gas station snacks so questionable, I'm pretty sure my stomach tried to file a grievance with my brain
en_00473	Tell me a funny joke about a complicated relationship with an alarm clock	My relationship with my alarm clock is toxic; I love it when it stops talking, but I hate it when it starts
en_00474	I need a joke about a very messy workspace that looks like a disaster zone	My desk is so messy, I found a stapler from 2008 and a half-eaten sandwich that achieved sentience
en_00475	What's a joke about someone who is overly dramatic about getting a paper cut	She got a paper cut so deep, she immediately started writing her will and demanding tiny violin music
en_00476	Make a joke about terrible customer reviews for a local shop	The local restaurant had reviews so bad, one guy complained that the soup tasted like a divorced ghost's tears
en_00497	Tell me a joke about a terrible experience trying to build IKEA furniture	I tried to assemble an IKEA desk, and now I have a moderately stable Scandinavian nightmare
en_00498	I need a joke about a very disappointing online shopping delivery	My package arrived so late, the delivery person handed it to me with a note apologizing for the delay in the year 2028
en_00499	What's a joke about someone who is obsessed with organizing their spice rack	She organizes her spices so diligently, she alphabetizes her paprika and gives her basil annual performance reviews
en_00500	Make a funny one about being overly competitive during a casual video game	I'm so competitive at Mario Kart that I once screamed at a Blue Shell for disrespecting my life choices
en_00501	I need a joke about a terrible motivational poster with confusing advice	The poster said, Ambition is the key to success, but the key was clearly shaped like a fish and didn't fit anything"
en_00502	Tell me a joke about a baker who uses way too much yeast in their bread	His bread rises so much, he has to keep his oven door open with a tiny, sturdy plank of wood
en_00503	Give me a funny joke about accidentally walking into the wrong Zoom meeting	I accidentally joined a CEO's strategy session and spent five minutes trying to explain why my background was a cat photo
en_00504	What's a joke about someone who is completely obsessed with buying organic produce	He loves organic food so much, he insists on knowing the vegetable's name and its astrological sign before eating it
en_00505	I need a joke about trying to be productive but constantly getting interrupted by my pets	I tried to work, but my cat kept batting my keyboard, trying to help me edit my thesis into 'meow meow meow
en_00506	Make a joke about someone who is always over-explaining simple concepts	He over-explains things so much, he prefaces every sentence with a detailed explanation of basic grammar rules
en_00507	Tell me a joke about a terrible local news weather reporter	The weatherman is so bad, he predicted clear skies right before a spontaneous hailstorm of frozen orange juice concentrate
en_00508	I need a funny joke about a paranoid person who thinks their neighbor is spying on them	She's so paranoid, she covers her laptop camera, then puts a tiny, angry disguise on her microwave to confuse it
en_00509	What's a joke about a very slow elevator in an office building	The elevator moves so slowly, people start sharing their entire life story before they reach the third floor
en_00510	Give me a joke about someone who brags about having a rare illness	He brags about his extremely rare ailment, but the doctor said it was just a severe case of having too much free time
en_00511	I need a joke about a frustrating experience trying to cancel a gym membership	I tried to cancel my gym membership, but the paperwork required me to lift a 200-pound stack of rejection forms
en_00512	Make a joke about a terrible date where you spilled food all over yourself	My date went so badly, I ended up wearing more of the spaghetti bolognese than I ate
en_00513	Tell me a funny joke about an overly enthusiastic security guard at a museum	The museum guard takes his job so seriously, he once tackled a tourist for trying to high-five a statue
en_00514	I need a joke about a very crowded public bus during rush hour	The bus was so crowded, I accidentally developed a deep, personal bond with a stranger's shoulder
en_00515	What's a joke about someone who always promises to do laundry but never does	He promises to do laundry so often, his dirty clothes pile has officially applied for tax-exempt status as a mountain range
en_00516	Make a joke about an overly complicated password system for a website	The website required a password so complex, I needed a PhD in linguistics and the assistance of a certified cryptographer just to log in
en_00517	Tell me a joke about a terrible experience with a self-checkout machine	The self-checkout machine got so confused, it started screaming about the price of a single apple and called the police
en_00518	I need a joke about someone who is addicted to buying useless kitchen gadgets	She buys so many useless gadgets, her kitchen counters look like a chaotic museum of failed cooking dreams
en_00519	What's a joke about a very disappointing magic show at a children's party	The magician's rabbit trick was so bad, the rabbit ended up filing a complaint with the union
en_00520	Make a funny one about being overly reliant on their smartphone for simple tasks	I rely on my phone so much, I almost texted my own brain to ask where I left my glasses
en_00521	I need a joke about a very enthusiastic but completely tone-deaf choir director	He conducts the choir with such passion, but his directions are musically the equivalent of traffic chaos
en_00522	Tell me a joke about a doctor who gives unnecessarily complicated diagnoses	My doctor described my mild cold using terms that sounded like a Shakespearean tragedy and a physics equation
en_00523	Give me a funny joke about trying to assemble complicated electronic equipment	I tried to set up my new stereo system, and now my living room sounds like a muffled alien invasion
en_00524	What's a joke about someone who is obsessed with fitness trackers and step counting	He is so obsessed with his step count, he jogs in place while watching horror movies just to increase his heart rate data
en_00525	I need a joke about trying to maintain a peaceful, minimalist lifestyle in a chaotic world	I tried to adopt a minimalist lifestyle, but then I realized I need at least 47 different kinds of reusable shopping bags
en_00526	Make a joke about someone who is overly formal in casual social situations	She is so formal, she sends RSVP cards to her own roommate for dinner invitations
en_00527	Tell me a joke about a terrible local tourist attraction that is completely underwhelming	The main attraction of the town was a large rock, which looked suspiciously like a slightly smaller, more regular rock
en_00528	I need a funny joke about a paranoid writer who thinks their characters are rebelling against them	The writer is so paranoid, he checks his manuscript every night to make sure his villain hasn't escaped the chapter
en_00529	What's a joke about a very slow bureaucracy or government office experience	The process was so slow, I saw a petition form from 1985 waiting patiently for its turn
en_00530	Give me a joke about someone who brags about their extremely average achievements	He brags about making a truly average cup of coffee, insisting it's a testament to his balanced neutrality
en_00531	I need a joke about a frustrating attempt to use a language learning app	I used the app for a year, and now I can order a highly specific type of pastry in three languages, but nothing else
en_00532	Make a joke about terrible food safety practices at a questionable roadside diner	I asked the waiter if the chicken was fresh, and he winked and said, It was definitely running around last week
en_00533	Tell me a funny joke about an overly aggressive sales pitch from a telemarketer	The telemarketer's pitch was so aggressive, he tried to sell me a cruise ship itinerary for my shower
en_00534	I need a joke about a very messy construction site that causes massive traffic jams	The construction site is so disorganized, they've accidentally built two separate and equally confusing roundabouts
en_00535	What's a joke about someone who always promises to bring dessert but only brings fruit	She promises to bring dessert, but always arrives with a single, highly decorative, and entirely unexciting bowl of grapes
en_00536	Make a joke about an excessively long commute filled with annoying drivers	My commute is so long, I've started seeing the same annoying minivan driver on the return trip, and we exchange exhausted, silent nods
en_00537	Tell me a joke about a terrible experience trying to return an item to a retail store	The store manager said they couldn't accept my return because the item was outside the original dimension of the universe
en_00538	I need a joke about a very disappointing camping trip with bad weather	Our camping trip was so bad, the tent collapsed, and the only thing we caught was a severe cold and existential dread
en_00539	What's a joke about someone who is obsessed with watching historical documentaries	He watches so many documentaries, he tries to communicate exclusively using Latin phrases and historical quotes
en_00540	Make a funny one about being overly competitive during a family card game night	My mom gets so competitive during card games, she has a miniature tribunal set up to review all questionable moves
en_00541	I need a joke about a terrible experience trying to learn how to play the harmonica	I tried to learn the harmonica, and now my dog thinks I'm trying to teach him how to howl off-key
